순번,표제어,대분류,영문,설명,출처,출처1,중분류
3249,기타 BOM,기타,Others BOM,위의 구분에는 해당하지 않지만 다른 부서 기능의 요구에 따라 필요한 정보를 제공하는 모든 형태의 BOM을 의미,방위사업용어,518 국방규격의 서식 및 작성에 관한 지침,기타
3250,기타 감항인증 기준,정책/제도,Other Airworthiness Certification Criteria,1. 방위사업청장이 고시하지 아니하였으나 국제적으로 통용되는 감항인증기준을 말한다. 2. 「군용항공기 비행안전성 인증에 관한 법률」 제4조에 따라 인증위원회에서 군용항공기 사업별로 승인된 기타감항인증기준은 표준감항인증기준과 동일한 효력을 가진다.,방사청용어,군용항공기 비행안전성 인증에 관한 업무규정('13.3.19개정),분석평가
3251,기타 계약 내용의 변경으로 인한 계약 금액 조정,사업/계약관리,,"1. 공사　제조 등의 계약에 있어서 물가변동 또는 설계변경으로 인한 계약금액 조정의 경우 외에 공사기간, 운반거리의 변경 등 계약내용의 변경으로 계약금액을 조정하여야 할 필요가 있는 경우에는 그 변경된 내용에 따라 실비를 초과하지 아니하는 범위 안에서 이를 조정한다. 2. 「국가를 당사자로 하는 계약에 관한 법률」 제19조 “기타 계약 내용의 변경”이라 함은 계약 금액의 조정을 수반하는 모든 계약 내용 변경 사항 중 물가 변동이나 설계 변경을 제외한 계약 내용의 변경을 의미한다. 물가 변동이나 설계 변동의 경우와는 달리 기타 계약 내용의 변경의 개념이 다소 포괄적이고 변경 유형이 다양하여 변경 사항의 해당 여부를 판단하기가 쉽지 않은데다가, 계약 금액 조정 방법도 다소 포괄적인 내용으로 규정되어 있어 이러한 조정 금액의 산정이 쉽지 않은 경우가 있다.  기타 계약 내용의 변경의 성격은 대체로 다음과 같다.  (1) 계약 금액의 조정을 필요로 하되 설계 변경 사유나 물가 변동 사유에 해당되지 않아야 한다. 물가 변동 사유는 계약 문서의 변동 없이 발생되므로 기타 계약 내용의 변경 사유와 구별이 용이하지 않으면서도 계약 금액 조정 기준이 서로 다르기 때문에 명확히 구별되지 않으면 안 된다. (2) 계약 내용으로 규정된 사항에 변경이 있어야 함. 계약 내용은 전술한 바 있는 계약 문서에 규정되므로 계약 문서에 규정된 모든 변경 사항이 해당될 수 있을 것이나 주로 설명서, 현장 설명서 등에 제시된 사항의 변경이 기타 계약 내용의 변경 사유에 해당된다.",1. KIMA 2. 과학기술용어사전,[pdf] 국방획득 원가 및 계약실무,계약관리
3252,기타 공사,전력지원체계,,"대형 공사 중 대안 입찰, 일괄 입찰로 집행하지 아니하는 공사를 말한다.",과학기술용어사전,,시설
3253,기타 법정경비,사업/계약관리,,법령으로 규정되어 있거나 의무지워진 경비를 말한다.,방위사업청,예정가격작성기준(기획재정부)/국방조달 계약관련 법령집,원가관리
3254,기타 자금,사업/계약관리,Counterpart Fund,계약이행보증금 및 6개월 소요자금 이외의 여유자금을 말한다.,방위사업청,FMS 실무참고서,원가관리
3255,기타용역,기타,,"민군규격통일화사업, 국방벤처사업 등 정부 부처 및 지방자치단체 등에서 위탁받아 관리하는 용역을 말한다. .<개정 2011.7.14>",방위사업용어,방위사업청 용어 종합,기타
3256,기탁 신용장,사업/계약관리,Escrow L/C,"수출입의 균형을 유지하기 위하여 구상 무역에서 사용되는 신용장으로, 수입 상인 발행 의뢰인이 신용장 발행 의뢰시 신용장 조건으로 그 신용장에 의하여 발행되는 어음의 매입 대금은 수익자에게 지급되지 아니하고 수익자 명의로 상호 약정에 따라 매입 은행, 발행 은행 또는 제3국의 환거래 은행 등의 기탁 계정에 기탁하여 두었다가 그 수익자가 원신용장 발행국으로부터 수입하는 물품의 대금 결제에만 사용하도록 하는 조건의 신용장을 말한다. 동시 발행 신용장처럼 동액, 동시 발행 조건이 아니므로 기탁 신용장은 물품의 선택과 기일 등에서 훨씬 자유롭다.",과학기술용어사전+국방부군수전력용어사전,,국제계약
3257,기파,기타,,☞ 쇄파(碎波),국방과학기술용어,국방과학기술용어사전,기타
3258,기폭,기타,,기폭관 폭발 에너지를 증폭시켜 충전 폭약을 폭발시키는 것.,국방과학기술용어,국방과학기술용어사전,기타
3259,기폭 장치,무기체계,Explosive Device / Initiating Equipment,"전기적, 기계적, 화학적 충격에 의하여 폭발을 시키는 장치를 말한다.",과학기술용어사전+국방부군수전력용어사전,,기동화력
3260,기폭관,기타,Squib,"미세한 흑색 화약을 채운 작은 관(管). 점화에 의하여 발화·연소되어, 로켓처럼 불꽃을 내면서 화약이 장전된 구멍으로 타 들어간다.",국방과학기술용어,국방과학기술용어사전,기타
3261,기폭약,기타,Priming Material,"주 화약을 점화시키며 폭약을 폭발시키는 데 사용되는 화약. 뇌홍, 아지드화납 등이 대표적이다. ☜ 점화약(點火藥)",국방과학기술용어,국방과학기술용어사전,기타
3262,기하 보정,기타,Geometric Correction,"항공기나 인공 위성 등 원격 탐사에 의해 취득된 영상에서 발생하는 기하학적인 왜곡을 보정하는 영상 처리 과정. 영상 취득 센서가 촬영하는 영상에 나타나는 지표면의 물체는 지도에 표시되는 위치와 정확하게 일치하지 않는다. 이는 촬영 당시 센서의 자세, 지구의 곡률, 지구의 자전, 관측 기기의 오차로 발생한다. 이러한 오차는 왜곡의 원인을 규명하여 역으로 투영하거나, 지상 기준점과 그 지상 기준점에 대응하는 영상의 위치를 상호 연관시켜 관계식을 구성함으로써 보정이 가능하다.",국방과학기술용어,국방과학기술용어사전,기타
3263,기한부 신용장,사업/계약관리,Usance LC,"기한부 어음에 의하여 결제가 되는 것을 조건으로 하는 신용장을 말한다. 통지 은행으로부터 화환 어음이 제시되면, 수입자는 먼저 그 어음을 인수만 하고 목적 상품을 수령한 후에 어음의 만기일이 되면 어음금을 지급하게 된다. 기한부어음은 그 기산일의 여하에 따라 After Date Bill(발행 일자 후 정기 출급)과 After Sight Bill(일람 후 정기 출급)로 구별되는데 보통 30 Days After Date나 60 Days After Sight 등으로 표기한다.",과학기술용어사전+국방부군수전력용어사전,,국제계약
3264,기함,기타,Command Ship / Flag Ship,"제독 또는 단위 부대 지휘관이 그 개인기를 게양하고 지휘를 하는 함정. ☜ FLG(Flag Ship), 사령선(司令船), 지휘함(指揮艦)",국방과학기술용어,국방과학기술용어사전,기타
3265,기화 폭탄,기타,,☞ 기체 폭약(氣體爆藥),국방과학기술용어,국방과학기술용어사전,기타
3266,기화기,기타,Carburetor,가솔린 엔진에 흡입되는 공기와 연료를 안개와 같은 작은 형태로 혼합하여 연소실로 보내는 구성품. ☜ 카뷰레터(Carbureter),국방과학기술용어,국방과학기술용어사전,기타
3267,기회 비용,정책/제도,Opportunity Cost,"둘 이상의 대안이 있는데 그 중 하나를 택하고 하나를 버렸을 경우, 버린 대안의 최대의 가치를 말한다. 특히 투자 결정, 신제품의 비교, 개선 방책의 검토, 무기체계의  선정, 정책 결정에 있어서의 결정적인 평가를 실시할 때 중요하게 사용되며 기회 원가, 대체 비용이라고도 한다.",과학기술용어사전+국방부군수전력용어사전,,획득기획
3268,기회 원가,기타,,☞ 기회 비용(機會費用),국방과학기술용어,국방과학기술용어사전,기타
3269,기회표적,기타,Targets Of Opportunity,"특정 범주에 속하나 다양한 형태를 띄며, 존재하는 지역은 어느 정도 알려져 있으나 정확한 위치는 식별되지 않은 표적. ☜ TOO(Target Of Oppo―rtunity)",국방과학기술용어,국방과학기술용어사전,기타
3270,기획,정책/제도,Planning,"제 문제에 대하여 미래를 예측하며 방책을 구상하고, 목표를 설정하여 이에 따르는 대체 행동 방안을 선택, 방침을 결정하는 과정이며, 목표를 달성하기 위하여 가장 경제적이고 효율적으로 자원을 배분하여 최선의 방책을 수립하는 과정이다. 즉 목표 달성을 위한 행동의 윤곽을 수립하는 것이고 구체적인 수단은 계획으로서 기획은 계획에 선행된다. 국방 기획 관리 제도상 기획이란 위험을 분석하여 국방 목표를 설정하고 대응 전략 수립 및 군사력 소요를 제기하며, 적정 수준의 군사력을 효과적으로 육성하기 위한 제반 정책을 수립하는 과정을 말한다.",과학기술용어사전+국방부군수전력용어사전,,기획조정
3271,기획 계획 예산 제도,정책/제도,Planning-Programming Budgeting System,☞ 국방 기획 관리 제도,과학기술용어사전,,기획조정
3272,기획 관리 체계,정책/제도,Planning Management System,"기획 관리 체계는 기획, 계획, 예산, 집행 및 평가의 5단계로 구성된다.",과학기술용어사전,,기획조정
3273,기획 명령,정책/제도,Planning Order,"1. 시행 기획의 착수를 지시하는 합참 의장의 명령으로서, 통상 지휘관 판단 이후에 발령된다. 국가 통수 기구에서 방책을 선정하기 전에 이 명령이 발령될 경우, 합참 의장의 경고 명령으로 갈음한다. 2. 국가 통수 기구에서 방책을 승인하기 전에 필수적인 기획 지침을 하달한 후 기획의 착수를 지시하기 위해 발령하는 명령을 말한다.",과학기술용어사전,,기획조정
3274,기획 소요,정책/제도,Planned Requirement,"일반적으로 기획 단계에서 구상하는 사항을 충족시킬 수 있는 물자, 시설, 자금 등의 소요를 의미한다. 또는 군사전략 개념을 구현하기 위한 전력 구조별, 전장 기능별 군수 요망 소요로서 전시 동원　부대 확장 등 각종 계획 수립에 필요한 기준을 의미하기도 한다.",1. 방사청용어 2. 과학기술용어사전+국방부군수전력용어사전,"국방전력발전업무훈령, 개정 2012.  2. 3.  훈령 제1388호",기획조정
3275,기획 체계,정책/제도,Planning System,예상되는 위협을 분석하여 국방 목표를 설정하고 대응 전략 수립 및 군사력 소요를 제기하여 적정 수준의 군사력을 효과적으로 건설하기 위한 제반 정책을 수립하는 과정을 말한다.,과학기술용어사전,,기획조정
3276,기후,기타,Climate,"날씨나 기온, 강우량, 바람 등 그 지역을 특징짓는 전반적인 자연조건. 특수한 지역의 기후는 충분한 기간(일반적으로 30년)동안 그 지역의 기상 상태를 통계학적으로 종합함으로써 표시된다. 열대, 온대, 한대 기후, 사바나, 스텝 기후 등이 그 예이다.",국방과학기술용어,국방과학기술용어사전,기타
3277,긴급 대잠 공격,기타,Urgent Anti-submarine Attack,곧 공격할 수 있는 위험한 곳에 위치하고 있는 적 잠수함에 대하여 접촉 즉시 실시하는 공격. 숙고 공격을 가할 만한 시간적 여유가 없을 경우에 잠수함을 교란하기 위하여 실시하는 정확성보다는 신속성이 우선하는 공격 방법이다.,국방과학기술용어,국방과학기술용어사전,기타
3278,긴급 동원,행정공통,Emergency Mobilization,1. 긴급한 상황 혹은 정상 동원이 불가능할 때 해당 지역 사령관이 소요되는 물자 및 인원에 대하여 관할 시·도지사에게 요청하고 시·도지사는 이를 검토하여 동원 명령을 한 후 지체 없이 안전행정부 장관에게 보고하여 사후 승인을 얻는 동원 방법이다. 2. 동원령이 선포된 후 규정된 기간 내 긴급히 동원하는 인원 및 물자를 뜻한다. ☞ 동원,1. 과학기술용어사전 2. 국방부군수전력용어사전,,운영지원
